"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000022887",1076.94037193058,0.797452454038465,0.21940289530888,9.22437664025553e-07,0.000140746536006926
"ENSMUSG00000037710",1321.49342790184,-0.747420855143171,0.19280054869548,9.19442270096383e-07,0.000140746536006926
"ENSMUSG00000052837",469.347008861714,1.63073513943602,0.681088944239326,9.53421386992103e-07,0.000143534411740371
"ENSMUSG00000020321",6770.35147904083,-0.708367552555269,0.176180105151298,1.00709173464456e-06,0.000144882627220073
"ENSMUSG00000029632",1542.14238204154,-0.640433591939146,0.150789612532156,1.02653530932653e-06,0.000144882627220073
"ENSMUSG00000081957",90.6308788189471,1.03271343185021,0.369216422994321,1.02345205865095e-06,0.000144882627220073
"ENSMUSG00000074884",150.569968795603,-1.33794650871909,0.527936627064673,1.00822616264128e-06,0.000144882627220073
"ENSMUSG00000031231",1764.14806233816,-0.765301757325284,0.203034043327807,9.96584801556001e-07,0.000144882627220073
"ENSMUSG00000067736",3392.3702182838,0.535602728550292,0.119654619158843,1.04957055110962e-06,0.000146304951760231
"ENSMUSG00000038690",1263.87207372701,-0.759837175289212,0.202497655916755,1.15750851937919e-06,0.000159383276735493
"ENSMUSG00000039087",418.755345469734,0.782425615090513,0.217479494938452,1.33930184608007e-06,0.000182193459567351
"ENSMUSG00000036216",300.644002533645,-0.966114363926724,0.339617038844424,1.44087404359132e-06,0.000187747551531974
"ENSMUSG00000015755",1030.21532980647,0.817566758701921,0.239758294839232,1.39945486516416e-06,0.000187747551531974
"ENSMUSG00000021514",43.9172539244628,-1.51011703154618,0.652920571576197,1.44664219141633e-06,0.000187747551531974
"ENSMUSG00000021539",1046.34360713088,-0.837381304222998,0.252982476592076,1.42570056705403e-06,0.000187747551531974
"ENSMUSG00000071014",350.828209550811,-0.781729200128308,0.218980544777177,1.48485672332903e-06,0.000190517241626228
"ENSMUSG00000044600",467.313936014752,-0.5389043190556,0.123304163671195,1.64386249779127e-06,0.000208548892837766
"ENSMUSG00000028367",1471.44047698974,-0.678091862517844,0.169762210851051,1.72542079995356e-06,0.000216463625025284
"ENSMUSG00000024309",153.270694527212,-0.729436843122278,0.193839021894306,1.8317730782241e-06,0.000227280767321191
"ENSMUSG00000039262",397.306460851373,0.70418402691631,0.181874064966202,1.85396025585165e-06,0.000227533317921967
"ENSMUSG00000021686",660.767138187633,0.588307631282032,0.139013136391382,1.91955682216577e-06,0.000233050710527674
"ENSMUSG00000000088",1160.92149924084,-0.553844481584131,0.12917029372623,2.08243098011991e-06,0.000250135406346105
"ENSMUSG00000031508",93.2651535556392,-0.758803481368301,0.212129981012823,2.11353607364484e-06,0.000251199324289725
"ENSMUSG00000036568",265.444133802602,0.61430870837936,0.148571242038842,2.19336036900095e-06,0.000257971165899893
"ENSMUSG00000018770",2480.45698727143,-0.658333835721446,0.165108012607309,2.31293307916498e-06,0.000269230179348987
"ENSMUSG00000002985",159845.929407664,-0.635429748630945,0.157384588551694,2.53921899910742e-06,0.000292554303254305
"ENSMUSG00000042507",184.446238933944,0.662592221812019,0.16820678975391,2.62155228097684e-06,0.000298989361661712
"ENSMUSG00000029623",564.092157019993,0.607683497823542,0.148128721150821,2.68770583773968e-06,0.000300464223900186
"ENSMUSG00000044986",2179.4992517011,-0.69752948096935,0.183673321123991,2.66429951510826e-06,0.000300464223900186
"ENSMUSG00000098387",42.6335065297938,1.17602993105621,0.503264894782231,2.71752288019599e-06,0.000300819125885225
"ENSMUSG00000035992",441.127785577965,-0.888052696183958,0.307231729558823,2.74893343063472e-06,0.00030134181908055
"ENSMUSG00000008540",35196.822887881,-0.585094709860522,0.141180921715677,2.8590140434127e-06,0.000307439310134979
"ENSMUSG00000030538",506.477893623119,-0.684604521023754,0.178603173315999,2.84283743484804e-06,0.000307439310134979
"ENSMUSG00000040857",443.649124027056,0.582698254838713,0.140985270182821,3.06644026195312e-06,0.00032663374526144
"ENSMUSG00000016427",394.062521593859,-0.75056203816466,0.214783069183604,3.14337617056695e-06,0.000331699629363285
"ENSMUSG00000021944",214.359178825436,0.700276645314221,0.187701028680253,3.22041315792218e-06,0.000333593440055957
"ENSMUSG00000053293",254.169775904861,0.700786011942301,0.187874044364719,3.20359176835016e-06,0.000333593440055957
"ENSMUSG00000063550",156.059255368267,0.850592546188032,0.288519424046556,3.64457116282306e-06,0.000374098663631228
