"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008210","estrogen metabolic process","9/1628","49/25615",0.183673469387755,2.88992378278093,3.44975992856387,0.00337021106389229,0.0251746928772606,0.0251746928772606,"Ugt2b34/Hsd17b10/Hsd17b8/Cyp2c54/Cyp2c40/Cyp2c69/Hsd17b6/Cyp1a2/Akr1c6",9
"GO:0042789","mRNA transcription by RNA polymerase II","9/1628","49/25615",0.183673469387755,2.88992378278093,3.44975992856387,0.00337021106389229,0.0251746928772606,0.0251746928772606,"Ncbp2/Taf3/Atf4/Ap3b1/Anxa2/Stat3/Polr2a/Ncoa1/Srebf1",9
"GO:1904645","response to amyloid-beta","9/1628","49/25615",0.183673469387755,2.88992378278093,3.44975992856387,0.00337021106389229,0.0251746928772606,0.0251746928772606,"Lrp1/Apoe/Fyn/Mmp2/Fcgr2b/Icam1/Lgmn/Cdk5/Apob",9
"GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway","7/1628","32/25615",0.21875,3.44181894963145,3.60073076006405,0.00340979307675104,0.0253524429688064,0.0253524429688064,"Hipk2/Ep300/Twsg1/Axin1/Crebbp/Lrg1/Men1",7
"GO:0035162","embryonic hemopoiesis","7/1628","32/25615",0.21875,3.44181894963145,3.60073076006405,0.00340979307675104,0.0253524429688064,0.0253524429688064,"Tgfbr2/Atf4/Tnrc6c/Stk4/Kat6a/Kdr/Zfpm1",7
"GO:1903846","positive regulation of cellular response to transforming growth factor beta stimulus","7/1628","32/25615",0.21875,3.44181894963145,3.60073076006405,0.00340979307675104,0.0253524429688064,0.0253524429688064,"Hipk2/Ep300/Twsg1/Axin1/Crebbp/Lrg1/Men1",7
"GO:2000629","negative regulation of miRNA metabolic process","7/1628","32/25615",0.21875,3.44181894963145,3.60073076006405,0.00340979307675104,0.0253524429688064,0.0253524429688064,"Hdac4/Sox9/Srf/Ep300/Tgfb1/Ncor1/Rela",7
"GO:0006611","protein export from nucleus","11/1628","68/25615",0.161764705882353,2.5452106518283,3.32391669575896,0.00354973942982754,0.0263016448641432,0.0263016448641432,"Ifi27/Nup214/Ywhae/Xpo1/Tgfb1/Desi1/Xpo5/Stradb/Park7/Cdk5/Ptpn11",11
"GO:0035924","cellular response to vascular endothelial growth factor stimulus","11/1628","68/25615",0.161764705882353,2.5452106518283,3.32391669575896,0.00354973942982754,0.0263016448641432,0.0263016448641432,"Sema6a/Cadm4/Hrg/Dll4/Flt4/Flt1/Atp2b4/Jcad/Akt1/Rela/Kdr",11
"GO:1901799","negative regulation of proteasomal protein catabolic process","11/1628","68/25615",0.161764705882353,2.5452106518283,3.32391669575896,0.00354973942982754,0.0263016448641432,0.0263016448641432,"Bag6/Ttc36/N4bp1/Ubxn1/Wac/Smarcc1/Tlk2/Alad/Sgta/Fbxo38/Park7",11
"GO:0015850","organic hydroxy compound transport","33/1628","316/25615",0.104430379746835,1.6431106739651,2.9967845215097,0.00355601100789809,0.0263177588879462,0.0263177588879462,"Lrp1/Sdhd/Rbp4/Ceacam1/Apoe/Commd1/Gnat1/Abcg1/Pon1/Fcer1g/Slc22a1/Apoc2/Vapb/Stard4/Nisch/Bmp6/Fabp1/Abcg5/Srebf2/Slc10a2/Dctn1/Apoc1/Anxa2/C1qtnf1/Lipg/Pink1/Agtr1a/Tspo/Apoc3/Park7/Smpd1/Ptpn11/Apob",33
"GO:0097061","dendritic spine organization","16/1628","119/25615",0.134453781512605,2.11549976255859,3.17749497885295,0.00356410733842556,0.0263473251346902,0.0263473251346902,"Erbb4/Apoe/Fyn/Actr2/Abl2/Vps35/Ngef/Fcgr2b/Shank3/Nedd9/Arhgap32/Hdac6/Pafah1b1/Lgmn/Kalrn/Cdk5",16
"GO:0006606","protein import into nucleus","23/1628","197/25615",0.116751269035533,1.83696790930293,3.07219775504378,0.00358071898869576,0.0264396997510133,0.0264396997510133,"Nup98/Pom121/Kpna6/Nup214/Eif4enif1/Nf1/Tnfrsf1a/Ywhae/Insig1/Ep300/Stk4/Tek/Tgfb1/Ranbp6/Traf3ip2/Nolc1/Sec13/Stat3/Hspa8/Gpn1/Akt1/Sumo1/Heatr3",23
"GO:0019364","pyridine nucleotide catabolic process","17/1628","130/25615",0.130769230769231,2.05752693252693,3.14918902366154,0.00363764849344252,0.0267896670657991,0.0267896670657991,"Tpi1/Fbp1/Hdac4/Foxk2/Arnt/Ep300/Zbtb20/P2rx7/Eno1/Git1/Fabp1/Mtch2/Stat3/Foxk1/Ncor1/Fkrp/Gale",17
"GO:0006801","superoxide metabolic process","12/1628","78/25615",0.153846153846154,2.42061992061992,3.27354412048903,0.00364570078365975,0.0267896670657991,0.0267896670657991,"Fancc/Prdx1/Gch1/Tgfb1/Acp5/Immp2l/Gnai3/Agtr1a/Prdx2/Ccs/Akt1/Park7",12
"GO:0046635","positive regulation of alpha-beta T cell activation","12/1628","78/25615",0.153846153846154,2.42061992061992,3.27354412048903,0.00364570078365975,0.0267896670657991,0.0267896670657991,"Tgfbr2/Zbtb16/Ep300/Cd1d2/Zbtb7b/Ap3b1/Cd1d1/Klhl25/Brd2/Itpkb/Brd4/Hsph1",12
"GO:0050994","regulation of lipid catabolic process","12/1628","78/25615",0.153846153846154,2.42061992061992,3.27354412048903,0.00364570078365975,0.0267896670657991,0.0267896670657991,"Rarres2/Abcd2/Pak4/Apoc2/Mfsd2a/Irs2/Fabp1/Akt2/Apoc1/Crtc3/Apoc3/Akt1",12
"GO:0009612","response to mechanical stimulus","29/1628","268/25615",0.108208955223881,1.70256289192856,3.01208523575356,0.00364896617101092,0.0267896670657991,0.0267896670657991,"Habp4/Map2k4/Bak1/D130043K22Rik/Gata4/Fyn/Abl2/Hpn/Sox9/Mmp2/Mmp14/Tnfrsf1a/Mkks/Csrp3/Tek/Tgfb1/P2rx7/Shank3/Bmp6/Meis2/Jund/Pecam1/Pde2a/Arrdc2/Akt1/Plec/Rela/Ltbr/Ptpn11",29
