"gene","score"
"Synrg",1.55824765884497
"Camsap1",1.55455525729844
"Gsr",1.55455525729844
"Rbm15b",1.55455525729844
"Pomk",1.55199694260691
"Lrrc41",1.55105928456551
"F8",1.55075565939734
"Crybg3",1.55020273928543
"Cttnbp2nl",1.54753667929787
"Ptprk",1.53477643156607
"Fn1",1.5302835356557
"Zfp574",1.52876974912311
"Kalrn",1.52822814196761
"Phactr4",1.52608228773533
"Cfi",1.52238400969858
"Brd1",1.52009594736777
"Cnot3",1.5172756785892
"Mast4",1.51688107805463
"Spacdr",1.51565052417019
"Hnrnpab",1.51565052417019
"Itga7",1.51565052417019
"Cd38",1.51429891587357
"Itih3",1.51053133793461
"Osgin1",1.51001458424068
"Cd47",1.50764790383587
"Diaph1",1.5075806384291
"Proz",1.50744916816548
"Arhgap17",1.50717003379912
"Erc1",1.50510592851926
"Irgq",1.50418171985039
"Glyr1",1.50195874044149
"Thpo",1.5012814044537
"Dda1",1.5012814044537
"Nup210",1.48966555755513
"Gas2l1",1.48117465066575
"Git2",1.47865865804625
"Jak1",1.47858944348646
"Mfhas1",1.47614190400285
"Scaf4",1.47178443941513
"Acp3",1.47178443941513
"Dock1",1.471708743812
"Patl1",1.47089644437622
"Mid1",1.46980359783087
"Git1",1.46980359783087
"Tdg-ps",1.46882949440139
"Zc3h11a",1.4674806874803
"Armcx3",1.4674806874803
"B3gnt2",1.4655703145102
"Desi1",1.46516924545204
"Fyn",1.46476256206902
"Uri1",1.46218195716646
"Gtf3c1",1.46218195716646
"Ythdf1",1.46100675643229
"Irf2",1.46100675643229
"Kin",1.46080519004148
"Ccnk",1.45931656359024
"Lrig1",1.45873079730023
"Sh3d19",1.4558538917924
"Epb41l2",1.45574819871124
"Arnt",1.45082183043884
"mt-Nd1",1.4508138990448
"Tut1",1.4508138990448
"Slc41a1",1.44503529385501
"Fcgr2b",1.44183198290983
"Ube2d1",1.44003139299487
"Midn",1.43901281872114
"Dhx9",1.43558658348908
"Nek4",1.42423366086312
"Rab21",1.41548930227695
"Wipi1",1.41405883729414
"Ldlrad3",1.41233181135909
"Fst",1.41175110430035
"Stk4",1.41097102494346
"Mphosph10",1.41068510237546
"Hunk",1.41068510237546
"Carm1",1.41046634740179
"Ube2k",1.4055622635498
"Bicra",1.40135791191123
"Mnt",1.3951479882465
"Ttc17",1.39123121778267
"Meis2",1.39123121778267
"Serinc3",1.39123121778267
"Slc39a1",1.39123121778267
"Brd2",1.39097358451916
"Cyp2c55",1.38967755567724
"Utp4",1.38962151757754
"Akap12",1.38841568567662
"Bak1",1.38615028944432
"Plxnc1",1.38615028944432
"Ptpn11",1.38450280421939
"Ctdp1",1.38405786870183
"Sec24b",1.38285593846013
"Cyb561",1.38074432302989
"Myo18a",1.38037472268448
"Gdf10",1.37922194345662
"Blcap",1.37463674627639
"Ppp1r9b",1.37423381665708
"Cep120",1.37320523097548
"Rprd2",1.36958188370211
"Max",1.36958188370211
"Plxnb1",1.36958188370211
"Smarca2",1.3690309926113
"Bmp2",1.36828669183987
"Eif4g3",1.36828669183987
"Nucks1",1.36644356427136
"Rpl7a",1.35568328176103
"Ints15",1.35280558159263
"Med15",1.35134178612953
"Tinagl1",1.34927224605736
"Tlk2",1.34908903422335
"Esrp2",1.34908903422335
"Hivep1",1.34908903422335
"Pcnt",1.34807282316645
"Prmt5",1.34807282316645
"Faf2",1.34807282316645
"Rnf144a",1.34723288939444
"Gpr155",1.34382500225101
"Exosc1",1.34339815231129
"Ikzf4",1.34050413303056
"Gpatch8",1.34050413303056
"Shroom1",1.34016848719634
"Foxk1",1.337248103112
"Add3",1.33611410930072
"Nopchap1",1.33538797960588
"Cyp2c50",1.33534393418896
"Smad1",1.33534393418896
"Zfp358",1.33534393418896
"Stat6",1.33274712421429
"Zfp865",1.33274712421429
"Fam234b",1.33262990060369
"Akap13",1.33221381731295
"Rbm47",1.33221381731295
"Adgrl4",1.33221381731295
"Rcsd1",1.32960580156956
"Serping1",1.32752851449653
"Elk4",1.32495357155362
"Mrtfa",1.32354177678424
"Col18a1",1.32354177678424
"Parvb",1.32311406947693
"Pip5k1a",1.32311406947693
"Prkch",1.32311406947693
"Nup214",1.32311406947693
"Nrdc",1.32287133367766
"Nol9",1.32097450583154
