"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of other amino acids","mmu00410","beta-Alanine metabolism","8/890","32/11162",0.25,3.13539325842697,3.56060933663764,0.00296167762016156,0.0272006707746417,0.0272006707746417,"93747/11671/227095/56752/11409/66054/74147/72535",8
"Human Diseases","Cancer: specific types","mmu05211","Renal cell carcinoma","13/890","70/11162",0.185714285714286,2.3291492776886,3.28349909695417,0.00321396639606477,0.0287608787750412,0.0287608787750412,"70584/11863/13819/328572/67673/94315/21803/12914/23871/15234/11652/11651/19247",13
"Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction","15/890","89/11162",0.168539325842697,2.11374826410807,3.10504891052611,0.00427522993096658,0.0373013811476834,0.0373013811476834,"22273/12866/66576/110323/22003/17710/59069/66694/22272/66142/12864/12859/66445/67003/12858",15
"Metabolism","Metabolism of cofactors and vitamins","mmu00770","Pantothenate and CoA biosynthesis","6/890","21/11162",0.285714285714286,3.58330658105939,3.48772763597916,0.00483662762299757,0.040426585221422,0.040426585221422,"11671/26464/66812/67618/211347/72535",6
"Metabolism","Metabolism of cofactors and vitamins","mmu00730","Thiamine metabolism","5/890","15/11162",0.333333333333333,4.18052434456929,3.62814307575237,0.00486509048509949,0.040426585221422,0.040426585221422,"66566/18041/29807/11431/11637",5
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","18/890","117/11162",0.153846153846154,1.92947277441659,2.97485495706024,0.00508784857650683,0.0412943989116485,0.0412943989116485,"15368/68263/17347/11863/13819/328572/67673/21687/22042/13806/12914/14254/11652/20848/11651/19697/15980/17000",18
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","20/890","136/11162",0.147058823529412,1.84434897554527,2.91609382282486,0.00547666476366644,0.0434399091481725,0.0434399091481725,"26431/26398/68652/18018/74192/66713/68524/56378/67771/330662/266632/242687/11652/54126/19303/18720/69632/11651/19697/14268",20
"Metabolism","Lipid metabolism","mmu00140","Steroid hormone biosynthesis","16/890","101/11162",0.158415841584158,1.98678384692402,2.93227416819217,0.00601928935175024,0.046682932972463,0.046682932972463,"13095/100727/76279/72082/231396/107141/14979/13113/15494/404195/13099/13088/72094/100043108/27400/13077",16
"Metabolism","Amino acid metabolism","mmu00380","Tryptophan metabolism","10/890","52/11162",0.192307692307692,2.41184096802074,3.00365103100823,0.00719387528459637,0.0545796190070463,0.0545796190070463,"13382/110460/93747/11671/56752/224530/270076/74147/72535/13077",10
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","33/890","268/11162",0.123134328358209,1.54429817206104,2.65478673756175,0.00805283278805991,0.0597965668730406,0.0597965668730406,"26431/21813/74192/66713/65114/18571/13430/268451/330192/68524/27681/56378/83814/67771/107338/77038/69780/15006/218441/22042/11771/17999/17274/216963/13196/232910/15040/80794/107568/84092/15481/18720/69091",33
